Fullname,Nationality,Gender,Passport_Number,Age,BMI,Systolic_BP,Diastolic_BP,Total_Cholesterol,HDL_Cholesterol,Num_Critical_Diseases,ICD_E08_E13_Diabetes,ICD_I10_I15_Hypertension,ICD_I20_I50_HeartDisease,ICD_J40_J47_Respiratory,ICD_N18_KidneyDisease,Smoker,Needs_Walking_Assist,Uses_Oxygen,Takes_Diuretics,Takes_Beta_Blockers,CVD_Risk_Score,Triage_Category
Casey Davila,Romania,F,0073540447222,43,23.1,119,79,272,55,1,0,1,0,0,0,0,0,0,1,0,7.5,Orange
Colin Dominguez,Tunisia,M,4359635629572,33,25.1,119,77,138,47,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Thomas Fowler,Namibia,M,3926202835745,54,31.6,138,82,153,59,0,0,0,0,0,0,1,0,0,0,0,15.0,Orange
Debra Brown,Dominica,M,9440742168971,36,20.6,126,70,213,46,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Sean Ruiz,Andorra,M,6885031657768,69,26.6,149,83,214,66,2,0,1,1,0,0,0,0,0,0,1,17.5,Orange
Richard Young,Swaziland,F,5968966920358,56,14.4,151,82,217,36,1,0,1,0,0,0,1,0,0,1,0,27.5,Orange
Scott Martin,Egypt,F,7926546786532,70,17.4,136,80,173,54,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Amy Kelley,British Indian Ocean Territory (Chagos Archipelago),F,1747058802505,61,20.8,139,84,258,73,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
James Jackson,Guatemala,M,4643894764656,64,41.8,145,94,248,54,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Benjamin Torres,Bhutan,F,0283845616340,56,21.1,121,86,189,47,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Zachary Rodriguez,French Polynesia,F,0992326640940,70,27.9,125,81,153,56,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Sean Carpenter,Kyrgyz Republic,F,1092860909684,92,28.4,138,93,275,39,0,0,0,0,0,0,0,0,0,0,0,40.0,Red
Katherine James,Ghana,F,3402867851745,44,39.6,139,90,181,62,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Brianna Lawrence,Argentina,F,9264179519935,34,35.7,139,85,185,35,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Michael Price,Yemen,F,2594183770099,61,39.5,125,90,186,61,0,0,0,0,0,0,0,0,0,0,0,7.5,Orange
Garrett White,Switzerland,F,4433899520414,53,37.1,159,92,165,72,2,0,1,0,0,1,0,0,0,1,0,7.5,Orange
John Smith,Cyprus,F,1476207416484,31,37.8,131,92,169,75,1,0,1,0,0,0,0,0,0,1,0,1.0,Orange
Justin Crawford,Peru,M,3903981653043,31,37.6,121,91,193,46,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
James Mason,Spain,F,7915102928110,32,26.0,121,73,131,38,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Gary Stephens,Mali,M,4238586410920,59,32.9,144,80,150,39,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Nancy Gould,British Virgin Islands,F,2819339334797,63,33.6,122,88,258,33,2,1,1,0,0,0,0,0,0,1,0,30.0,Red
Thomas Murphy,Cameroon,F,1695637957033,80,23.8,142,91,230,75,2,1,1,0,0,0,0,0,0,0,0,32.5,Red
Julie Vargas,North Macedonia,F,2205610559605,61,25.1,120,89,184,45,1,0,0,1,0,0,0,0,0,0,1,10.0,Orange
David Davila,Tokelau,M,7284886092585,23,27.7,113,71,158,61,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Russell Cortez,Burundi,F,6489829717100,36,26.3,104,72,159,30,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Henry Berger,Switzerland,M,1616236871636,80,19.6,174,81,154,60,1,0,1,0,0,0,0,0,0,1,0,30.0,Red
Sarah Stewart,Korea,F,1064940399456,66,31.5,126,95,270,41,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Warren Martin,Ukraine,F,9750038008851,47,30.9,131,92,231,67,1,0,1,0,0,0,1,0,0,1,0,12.5,Orange
Jessica Zimmerman,Saint Martin,M,5128738191199,51,25.7,156,82,251,55,1,0,1,0,0,0,0,0,0,1,0,17.5,Orange
Daniel Robertson,Lao People's Democratic Republic,M,4740556483211,50,32.0,140,91,184,45,1,0,1,0,0,0,1,0,0,0,0,15.0,Orange
Mike Brown,Gibraltar,M,6565573708882,39,36.0,126,85,136,47,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Sarah Whitehead,Trinidad and Tobago,F,7408451109014,52,26.3,135,93,214,59,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Derek Ramos,Bahrain,M,6774473681298,36,26.6,117,67,156,33,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Robert Matthews,Syrian Arab Republic,M,4780867701192,48,26.8,106,82,211,34,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Kimberly Torres,Cocos (Keeling) Islands,M,8879450911974,63,31.7,121,94,237,61,0,0,0,0,0,0,1,0,0,0,0,17.5,Orange
Valerie Taylor,Japan,M,7833355983659,75,28.3,153,81,170,49,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Bryan Juarez,Paraguay,M,9422412496942,94,29.7,145,94,188,36,2,1,1,0,0,0,1,0,0,0,0,45.0,Red
Edward Kim MD,Brunei Darussalam,F,2262551407389,65,37.9,157,88,151,35,2,0,1,0,0,1,0,0,0,0,0,22.5,Red
Peter Johnson,Kuwait,M,3281157087893,57,40.3,122,82,238,68,0,0,0,0,0,0,0,0,0,0,0,7.5,Orange
Colleen Sanchez,French Southern Territories,M,9199788381034,79,33.6,126,87,216,43,0,0,0,0,0,0,1,0,0,0,0,27.5,Red
Rose Brown,Latvia,F,9687788087266,21,16.1,116,81,145,53,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Daniel Warren,Norway,M,3826782846424,49,26.8,118,75,219,41,1,1,0,0,0,0,0,0,0,0,0,12.5,Green
Phyllis Simpson,Venezuela,F,7221364665329,36,29.7,108,78,168,45,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Lori Anderson,Barbados,M,9196342562489,40,33.2,156,84,147,74,1,0,1,0,0,0,0,0,0,1,0,2.5,Orange
Isabel Brown,Svalbard & Jan Mayen Islands,F,4968704362519,64,35.4,154,89,162,43,2,1,1,0,0,0,0,0,0,0,0,22.5,Red
Melissa Riley,Panama,F,9094353898880,54,27.1,128,95,245,41,1,1,0,0,0,0,0,0,0,0,0,20.0,Orange
Mark Caldwell,Yemen,F,7000325231823,34,20.3,116,78,210,68,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Breanna Valenzuela DDS,Georgia,F,5512490554772,40,18.0,112,79,206,36,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Robert Garcia,Rwanda,M,3955542450035,62,39.4,160,95,253,33,2,1,1,0,0,0,0,0,0,0,0,35.0,Red
Keith Griffin,Lao People's Democratic Republic,F,9154171700366,45,37.1,131,80,196,55,3,0,1,1,0,1,0,0,0,1,0,5.0,Orange
Susan Mosley,Namibia,M,4220800003308,46,31.2,153,82,237,33,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Marcus Lawrence,Cuba,F,6346726515317,56,43.7,159,94,204,57,2,0,1,1,0,0,1,0,0,1,1,22.5,Orange
Amber Hernandez,Yemen,F,2543668337319,31,45.6,149,84,216,72,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Vanessa Rivers,French Southern Territories,M,4802238190715,19,29.4,130,83,207,71,1,1,0,0,0,0,1,0,0,0,0,15.0,Orange
Katrina Melton,Libyan Arab Jamahiriya,M,1642183129988,69,23.1,121,88,222,32,1,1,0,0,0,0,0,0,0,0,0,27.5,Red
Christopher Tran,Eritrea,F,8894398594324,57,15.5,144,80,173,63,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Julie Rivera,United States Virgin Islands,M,2179364678359,51,30.3,160,82,202,43,1,0,1,0,0,0,0,0,0,0,0,12.5,Orange
Jessica Johnson,Wallis and Futuna,M,7350617651700,52,20.2,120,94,265,41,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
David Walls,Turkey,F,6471789921925,51,42.2,126,89,234,60,0,0,0,0,0,0,0,0,0,0,0,7.5,Orange
Jessica Love,Faroe Islands,M,7887801473638,47,33.5,158,89,173,45,1,0,1,0,0,0,1,0,0,0,0,15.0,Orange
Travis Brown,Ghana,M,2202758148173,46,30.2,129,85,250,38,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Brian Cruz,Norway,F,4471700560761,38,16.7,122,76,141,39,1,0,1,0,0,0,0,0,0,0,0,5.0,Green
Carl Tran,Niger,F,3135287041181,71,14.7,152,82,161,65,1,0,1,0,0,0,0,0,0,1,0,17.5,Orange
Jeffrey Reed,Guadeloupe,M,4389560326208,68,30.4,125,84,177,43,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Logan Vaughn,Cambodia,F,9051117393401,60,36.8,122,94,254,30,0,0,0,0,0,0,0,0,0,0,0,22.5,Red
Victoria Morris,Martinique,M,4849714773277,89,25.0,154,83,152,70,1,0,1,0,0,0,0,0,0,0,0,25.0,Red
Brenda Steele,Switzerland,F,4316082646750,64,19.4,177,90,151,41,1,0,1,0,0,0,0,0,0,1,0,20.0,Orange
Alicia Walker,Suriname,M,5290291470728,21,21.8,122,69,183,73,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
Kristen Mcdowell,United States Minor Outlying Islands,M,3433694327868,69,22.5,140,92,207,30,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Robert Oconnell,Bosnia and Herzegovina,M,7998239138898,42,25.9,115,76,151,47,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Janet Gibbs,Anguilla,M,7401075683465,69,29.0,160,86,168,30,1,0,1,0,0,0,0,0,0,1,0,22.5,Red
Dr. Anthony Chang,United States of America,F,9634856410143,61,21.2,143,87,169,74,1,0,1,0,0,0,0,0,0,0,0,12.5,Green
Mike Francis,Lao People's Democratic Republic,F,8066898838400,74,26.8,122,95,197,57,1,1,0,0,0,0,1,0,0,0,0,30.0,Red
John Young,Antigua and Barbuda,M,6584320641920,74,31.3,122,89,168,60,1,1,0,0,0,0,0,0,0,0,0,22.5,Red
Holly Boyd,Gabon,F,5935194184708,39,14.1,119,78,139,32,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Nichole Martinez,Guadeloupe,M,1343011236945,52,29.1,121,91,183,63,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Thomas Leonard,Nicaragua,M,7664736516322,81,21.0,159,82,265,41,1,0,1,0,0,0,0,0,0,1,0,32.5,Red
Leslie Griffith,Uzbekistan,F,5951945754921,58,24.3,151,86,223,50,1,0,1,0,0,0,0,0,0,0,0,15.0,Orange
Christopher Smith,Fiji,M,8515152388705,58,27.8,153,80,240,55,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Stephanie Pratt,Belarus,M,7153286649807,59,28.7,143,90,251,40,1,0,1,0,0,0,0,0,0,0,0,20.0,Orange
Erik Hamilton,Congo,F,2726265158574,55,40.8,132,83,273,53,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Nicole Schwartz,Norfolk Island,M,2232037561034,63,32.1,145,94,178,37,1,0,1,0,0,0,0,0,0,1,0,20.0,Orange
Kathleen Owens,Guam,F,5351523149956,30,35.6,132,94,171,66,1,0,1,0,0,0,0,0,0,0,0,1.0,Green
Madison Underwood,American Samoa,M,7551214091825,63,32.9,158,93,215,74,2,0,1,1,0,0,0,0,0,1,1,15.0,Orange
James Lewis,Uruguay,F,9831132018509,57,37.5,151,88,219,74,1,0,1,0,0,0,0,0,0,1,0,12.5,Orange
Michael Hall,United States Minor Outlying Islands,M,5502655515700,69,33.5,121,86,217,30,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
David Carlson,Syrian Arab Republic,F,3676938220154,32,18.7,110,67,177,52,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Dorothy Payne,Vanuatu,M,3920408800507,36,33.7,148,89,185,36,2,0,1,0,0,1,0,0,0,0,0,10.0,Orange
Michael Webster,Svalbard & Jan Mayen Islands,F,7545958230923,23,29.4,117,76,176,38,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Abigail Young,British Indian Ocean Territory (Chagos Archipelago),M,5670067759217,48,32.0,153,81,278,73,1,0,1,0,0,0,0,0,0,0,0,12.5,Orange
Arthur Estrada,Cuba,M,1616745393148,71,20.3,156,93,186,36,2,1,1,0,0,0,0,1,0,1,0,32.5,Red
Jessica Lawrence,British Virgin Islands,F,1499277869387,48,24.0,103,73,254,71,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Christopher Roth,Jordan,M,2226423598766,80,48.7,124,92,180,50,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Bonnie Anderson,Mozambique,F,4335241560522,54,36.8,181,83,166,51,1,0,1,0,0,0,0,0,0,1,0,15.0,Red
Matthew Jackson,Monaco,M,7779780905647,79,37.1,141,81,198,39,1,0,1,0,0,0,0,0,0,0,0,27.5,Red
Anthony Adkins,Serbia,F,3594478592701,26,43.1,145,88,156,49,1,0,1,0,0,0,1,0,0,1,0,12.5,Orange
Timothy Evans,French Guiana,F,7228488626397,39,17.1,189,78,148,54,1,0,1,0,0,0,0,0,0,0,0,10.0,Red
John Snyder,Bulgaria,F,8029696709808,51,18.6,155,93,244,64,1,0,1,0,0,0,1,0,0,1,0,22.5,Orange
Heather Bryant,Reunion,F,2700312938258,31,23.7,120,65,157,47,1,0,0,0,0,1,0,0,0,0,0,1.0,Green
Angela Kerr,Antigua and Barbuda,M,8880411998286,64,33.9,120,86,265,67,1,1,0,0,0,0,0,0,0,0,0,22.5,Red
Robert Nguyen,Papua New Guinea,M,3054235668631,32,29.0,116,67,196,72,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
William Thomas,Guatemala,F,2329673263757,64,39.6,135,82,270,44,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Jennifer Knox,Libyan Arab Jamahiriya,F,8684401264494,41,16.0,108,68,161,70,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
Dr. Natalie Sutton,Isle of Man,M,2785524182828,57,22.2,147,82,216,45,1,0,1,0,0,0,0,0,0,0,0,15.0,Orange
Logan Torres,Solomon Islands,M,5113483865082,37,31.1,126,80,145,60,1,0,0,0,1,0,0,0,0,0,0,1.0,Green
William Davis,Macao,F,9733492879762,50,37.4,156,92,261,33,1,0,1,0,0,0,0,0,0,1,0,22.5,Orange
Katherine Gibson,Croatia,F,4107014640690,91,16.8,158,86,194,57,1,0,1,0,0,0,0,0,0,1,0,30.0,Red
Joshua Wagner,San Marino,F,1592395515003,38,21.7,111,85,161,49,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Jacob Boone,Western Sahara,F,5244816113805,62,14.7,151,90,162,43,1,0,1,0,0,0,0,0,0,1,0,15.0,Orange
Kayla Brown,Grenada,M,5285845437777,65,46.5,122,85,229,66,1,0,0,0,0,1,0,0,0,0,0,12.5,Orange
Stuart Smith,Mali,M,2547011578626,52,22.4,145,80,173,54,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Melody Rivera,Bhutan,F,5760732317764,21,31.6,150,84,175,50,1,0,1,0,0,0,0,0,0,0,0,5.0,Orange
Mrs. Samantha Weber,Montserrat,F,0393834995209,63,21.6,139,80,232,53,0,0,0,0,0,0,0,0,0,0,0,15.0,Orange
Jorge Boyd,Iraq,F,9653141252473,57,39.6,154,87,193,64,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Kristin Whitehead,Venezuela,F,6264267909634,35,33.7,148,83,164,59,2,1,1,0,0,0,1,0,0,0,0,20.0,Orange
Anthony Gray,Sri Lanka,M,9154564559632,55,23.9,125,94,267,68,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
Anthony Pitts,American Samoa,F,7285193774362,56,20.8,123,85,180,31,0,0,0,0,0,0,0,0,0,0,0,12.5,Green
David Harrington,Guadeloupe,F,2487389268883,63,52.9,155,84,192,66,3,1,1,0,0,1,0,0,0,1,0,20.0,Orange
John Watson,Holy See (Vatican City State),F,6092447819035,48,30.9,129,84,258,47,0,0,0,0,0,0,1,0,0,0,0,17.5,Orange
Janet Gilbert,Russian Federation,M,6308986402530,56,35.2,159,92,190,75,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Alicia Curtis,Tajikistan,F,2775359641133,51,25.7,152,93,157,41,1,0,1,0,0,0,1,0,0,0,0,17.5,Orange
Brandon King,Peru,F,3678037524355,45,44.9,135,85,185,53,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Sandra Jimenez,Saint Martin,M,9691708820680,79,35.0,130,87,198,60,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Michael English,Grenada,M,4829215212949,59,25.5,123,93,230,56,0,0,0,0,0,0,1,0,0,0,0,17.5,Orange
Mark Daniels,Sweden,F,9932832880622,51,20.2,133,84,216,59,0,0,0,0,0,0,1,0,0,0,0,17.5,Orange
Steven Jackson,British Indian Ocean Territory (Chagos Archipelago),M,0790955760967,73,21.5,145,86,267,32,1,0,1,0,0,0,0,0,0,0,0,32.5,Red
Michelle Davis,Myanmar,M,4643126489883,32,22.4,112,68,178,40,1,0,1,0,0,0,0,0,0,1,0,1.0,Orange
Jessica Smith,Zimbabwe,M,6694226842755,60,45.9,149,80,166,48,3,1,1,1,0,0,0,0,0,0,0,22.5,Red
Gerald Gilmore,Samoa,F,3584028295282,27,17.5,125,68,155,37,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
David Young,Chile,M,5411388381431,41,31.6,141,94,187,47,1,0,1,0,0,0,0,0,0,1,0,5.0,Orange
Nancy Moore,Sudan,M,2256417662548,56,40.8,150,94,181,64,1,0,1,0,0,0,0,0,0,0,0,10.0,Orange
Debra Roach,Thailand,M,8817159303478,54,21.1,144,87,188,35,1,0,1,0,0,0,1,0,0,1,0,22.5,Orange
Larry Michael,Cambodia,M,0395582784425,53,35.6,124,80,157,34,0,0,0,0,0,0,0,0,0,0,0,10.0,Orange
Amanda Jones,Cote d'Ivoire,F,5836384419429,30,26.6,107,66,171,49,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Joshua Morrison,Guam,F,8754480879695,41,28.4,124,78,217,66,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Michael Jones,Palestinian Territory,M,9523308471569,56,29.5,127,93,201,52,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Brian Wheeler,Saint Pierre and Miquelon,M,1955773008885,18,30.7,156,88,218,40,1,0,1,0,0,0,0,0,0,0,0,7.5,Orange
Erin White,Belgium,M,9869872208874,32,38.2,127,80,209,30,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Guy Coleman,Nigeria,F,7004741189874,58,24.8,122,85,167,50,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Kimberly Little,Venezuela,F,5756582868778,80,30.6,146,82,160,46,3,1,1,0,0,1,0,0,0,0,0,32.5,Red
Lauren Arias,Kyrgyz Republic,F,5091798963641,79,22.6,141,89,213,34,1,0,1,0,0,0,0,0,0,1,0,30.0,Red
Leslie Dean,Mauritania,F,7092652942343,52,34.9,136,84,233,68,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Rebecca Hudson,Costa Rica,F,1716419211799,61,23.1,150,86,279,71,1,0,1,0,0,0,0,0,0,1,0,20.0,Orange
Emma Fisher,Trinidad and Tobago,M,4041319700096,54,44.2,149,85,228,74,1,0,1,0,0,0,0,0,0,0,0,10.0,Orange
Lisa Nash,Belarus,F,4892340945303,66,22.9,133,81,199,33,2,1,1,0,0,0,0,0,0,0,0,27.5,Red
Scott Taylor,Mozambique,F,5150616561572,53,16.9,126,82,267,71,0,0,0,0,0,0,0,0,0,0,0,10.0,Green
Felicia Vasquez,Dominican Republic,F,8590895401713,30,39.6,153,94,145,57,1,0,1,0,0,0,0,0,0,0,0,5.0,Orange
Mary Robertson,Bulgaria,F,6362711743060,49,34.4,160,91,234,39,2,1,1,0,0,0,0,0,0,0,0,22.5,Orange
Michael Ray,Kiribati,F,7320704829510,40,30.4,130,92,130,57,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Richard Munoz,Tajikistan,M,3114163160666,80,34.2,153,91,270,45,1,0,1,0,0,0,0,0,0,0,0,32.5,Red
Stacy Delgado,Ireland,F,1962335416309,68,40.3,179,91,218,59,2,1,1,0,0,0,0,0,0,1,0,32.5,Red
Julia Johnson,Samoa,M,8596373120145,48,17.4,100,75,186,52,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
John Mason,Benin,F,3954692983417,35,27.5,107,65,193,57,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Barbara Castro,Jordan,M,5180173894813,72,28.0,128,84,214,56,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Ryan Contreras,American Samoa,F,7587115698887,26,31.3,141,94,183,66,1,0,1,0,0,0,0,0,0,0,0,2.5,Green
Jacob Horne,Guadeloupe,M,5317789853419,32,37.3,135,95,216,57,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Rhonda Mclaughlin,Kuwait,F,9197847128248,31,23.6,128,84,171,66,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Anthony Wilson,Paraguay,M,0435400609537,70,42.2,129,83,243,75,0,0,0,0,0,0,0,0,0,0,0,20.0,Orange
Erin Carr,British Virgin Islands,M,8969281516568,83,16.6,132,82,236,62,1,0,1,0,0,0,0,0,0,0,0,22.5,Red
Terri Walker,Mauritania,M,0178156241841,41,35.2,136,88,153,55,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Alex Jones,Macao,M,2206962634507,76,29.9,135,83,211,46,2,1,0,1,0,0,0,0,0,0,1,30.0,Red
Elizabeth Clayton,Heard Island and McDonald Islands,F,5430693744786,55,18.0,149,86,224,32,2,1,1,0,0,0,0,0,0,0,0,27.5,Orange
Jane Richards,Sao Tome and Principe,M,1744918978745,73,24.2,127,92,152,42,1,1,0,0,0,0,0,0,0,0,0,22.5,Red
Lisa Freeman,Brunei Darussalam,F,3481525864426,81,41.0,147,93,196,47,1,0,1,0,0,0,0,0,0,0,0,25.0,Red
Shannon Kelly,Fiji,F,5751775940613,38,28.3,119,82,199,40,0,0,0,0,0,0,1,0,0,0,0,7.5,Green
Ryan May,Armenia,F,3607715176203,56,33.9,149,91,227,52,1,0,1,0,0,0,1,0,0,1,0,22.5,Orange
Patricia Rich,Benin,F,8610643381118,55,21.9,153,94,177,62,1,0,1,0,0,0,0,0,0,1,0,10.0,Orange
Sharon Cole,Cameroon,M,0074123152090,42,20.9,121,69,269,56,0,0,0,0,0,0,0,0,0,0,0,7.5,Green
Mary Bean,Argentina,M,7890535019515,62,34.3,120,83,276,37,1,1,0,0,0,0,1,0,0,0,0,37.5,Red
Eddie Johnson,Ghana,F,9170868948170,59,20.8,145,88,278,51,1,0,1,0,0,0,0,0,0,1,0,20.0,Orange
Kevin Nelson,Hong Kong,M,0909539346743,69,37.3,157,85,157,38,1,0,1,0,0,0,1,0,0,0,0,30.0,Red
Richard Davis,Pitcairn Islands,F,0084343396563,52,38.4,125,94,280,46,1,0,1,0,0,0,0,0,0,1,0,12.5,Orange
Jennifer Pham,Wallis and Futuna,M,5199583088477,63,16.8,135,88,259,74,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Jeremiah Taylor,Montserrat,M,8803370625109,53,22.4,126,88,238,58,1,0,1,0,0,0,0,0,0,0,0,7.5,Green
Rebecca Arnold,Peru,F,1945209147912,78,34.2,126,80,181,57,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Mr. Robert Sherman DVM,Lesotho,F,5813246559035,66,23.5,134,90,209,55,0,0,0,0,0,0,0,0,0,0,0,17.5,Orange
Jacob Welch,British Virgin Islands,F,6771605307415,33,21.1,117,65,182,38,0,0,0,0,0,0,0,0,0,0,0,5.0,Green
Brian Bryan,Georgia,F,4072121816477,42,42.3,152,84,170,38,1,0,1,0,0,0,0,0,0,0,0,10.0,Orange
Patricia Hernandez,New Caledonia,M,0133867615138,18,20.1,120,79,167,63,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
Pamela Thomas,Christmas Island,F,1323290789073,52,24.6,146,87,238,58,1,0,1,0,0,0,0,0,0,0,0,12.5,Green
Frank Conrad,Barbados,F,2982333339324,64,48.7,147,93,184,55,3,1,1,1,0,0,1,0,0,0,1,30.0,Red
Brian Chan,Zimbabwe,F,6251350335838,45,27.6,118,85,173,60,1,0,0,0,1,0,0,0,0,0,0,2.5,Green
Linda Jefferson,Nauru,M,6105482453475,41,27.9,130,80,278,60,0,0,0,0,0,0,1,0,0,0,0,15.0,Orange
Nathaniel Daniel,Oman,M,9412051071440,65,31.0,143,85,158,58,2,1,1,0,0,0,0,0,0,0,0,25.0,Red
Jacqueline Martinez,Falkland Islands (Malvinas),F,0993507580536,75,34.4,149,83,176,74,1,0,1,0,0,0,1,0,0,1,0,27.5,Red
Amanda Banks,Indonesia,F,9983824956184,48,30.9,149,81,175,31,1,0,1,0,0,0,0,0,0,0,0,12.5,Green
Jamie Bailey,French Southern Territories,F,0650686141605,55,35.1,144,85,257,72,1,0,1,0,0,0,0,0,0,0,0,17.5,Orange
Lindsay Romero,Svalbard & Jan Mayen Islands,M,7803451713078,35,21.3,124,81,151,40,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Rhonda Perez,Kyrgyz Republic,F,3830822428921,70,16.2,146,83,220,59,1,0,1,0,0,0,0,0,0,0,0,22.5,Red
Felicia Nunez,Guam,M,9714804486854,72,35.0,146,87,181,66,2,1,1,0,0,0,0,0,0,0,0,25.0,Red
Sherri Rocha,Mali,M,3319901272216,34,23.6,110,75,166,69,0,0,0,0,0,0,1,0,0,0,0,5.0,Green
Kendra Santana,Saint Martin,M,4599481178439,32,23.1,130,85,186,37,1,1,0,0,0,0,0,0,0,0,0,12.5,Green
Becky Johnson,Trinidad and Tobago,M,0010867069713,53,27.5,157,93,168,67,1,0,1,0,0,0,0,0,0,0,0,7.5,Orange
Victoria Gould,Saint Helena,F,9196059830451,61,45.5,156,89,232,56,2,1,1,0,0,0,0,0,0,0,0,25.0,Red
Dana Weeks,Samoa,F,8803337425377,78,20.9,151,93,218,49,1,0,1,0,0,0,0,0,0,0,0,25.0,Red
Dr. Lisa Lawrence,San Marino,F,5650942995701,29,23.4,103,82,173,56,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Cheryl Navarro,Greenland,M,5969560244871,63,50.8,152,88,153,59,1,0,1,0,0,0,1,0,0,1,0,22.5,Red
Richard Nguyen,Nicaragua,F,8670334452268,82,17.2,120,92,183,36,1,1,0,0,0,0,1,0,0,0,0,40.0,Red
Kathleen Singh,Guam,F,8894263219178,54,34.4,137,93,243,59,1,0,0,0,0,1,0,0,0,0,0,15.0,Orange
Kimberly Fisher,Christmas Island,M,9663613826392,45,29.9,113,82,168,45,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Jessica Elliott,Wallis and Futuna,M,5015602388420,47,22.5,103,76,156,57,0,0,0,0,0,0,0,0,0,0,0,2.5,Green
Dr. Patrick Warren,Palau,F,8586270182742,23,34.4,127,95,142,58,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
Kevin Young,Palau,M,6234829597333,58,31.2,153,81,268,50,1,0,1,0,0,0,0,0,0,1,0,20.0,Orange
Lisa Martinez,Syrian Arab Republic,F,7162183982979,65,35.2,151,84,181,72,2,0,1,1,0,0,0,0,0,1,0,15.0,Orange
Rhonda Knox,Andorra,F,2413976968430,42,15.7,102,78,196,41,0,0,0,0,0,0,0,0,0,0,0,1.0,Green
